s_q_norm,s_q_hp,s_energy,s_age_norm,s_age_hp,s_neighbors,q_val_0,q_val_1,q_val_2,q_val_3,q_val_4,action,reward
0.06666667014360428,0.03333333507180214,0.9997599720954895,0.0,0.0,0.5555555820465088,-0.03110937774181366,0.10801034420728683,0.030767083168029785,-0.12232509255409241,-0.04370010271668434,1.0,-0.581361087039113
0.10000000149011612,0.06666667014360428,0.9990065693855286,0.019999999552965164,0.05000000074505806,0.5555555820465088,-0.030603859573602676,0.10677293688058853,0.03207974135875702,-0.1201038733124733,-0.042907968163490295,1.0,-0.7673457022756338
0.10000000149011612,0.06666667014360428,0.9984132051467896,0.019999999552965164,0.10000000149011612,0.5555555820465088,-0.032320499420166016,0.10962776094675064,0.03242676332592964,-0.12008344382047653,-0.04216068238019943,1.0,-1.1113611124455929
0.13333334028720856,0.10000000149011612,0.9976598024368286,0.03999999910593033,0.15000000596046448,0.5555555820465088,-0.03315151482820511,0.10725279152393341,0.033961620181798935,-0.11744698882102966,-0.040629059076309204,1.0,-1.2973695509135723
0.13333334028720856,0.10000000149011612,0.9970663785934448,0.03999999910593033,0.20000000298023224,0.5555555820465088,-0.03491249307990074,0.10936389863491058,0.03405794873833656,-0.11705325543880463,-0.03933002054691315,1.0,-1.5153499208390713
0.10000000149011612,0.10000000149011612,0.9965530037879944,0.03999999910593033,0.25,0.5555555820465088,-0.036741893738508224,0.11376802623271942,0.03238328546285629,-0.11731323599815369,-0.038951508700847626,1.0,-1.8273695949465036
0.10000000149011612,0.10000000149011612,0.9959595799446106,0.05999999865889549,0.30000001192092896,0.5555555820465088,-0.03754875808954239,0.1157403290271759,0.03275684267282486,-0.11613523215055466,-0.03847961872816086,1.0,-2.0773695055395365
0.10000000149011612,0.10000000149011612,0.9953661561012268,0.05999999865889549,0.3499999940395355,0.5555555820465088,-0.03907599300146103,0.11843620240688324,0.03375312313437462,-0.115302175283432,-0.03800874948501587,1.0,-2.2653499506413937
0.06666667014360428,0.10000000149011612,0.9948527812957764,0.03999999910593033,0.4000000059604645,0.5555555820465088,-0.0406537801027298,0.12361519038677216,0.03190735727548599,-0.11582052707672119,-0.038146667182445526,1.0,-2.5473694764077663
0.03333333507180214,0.13333334028720856,0.9942593574523926,0.03999999910593033,0.44999998807907104,0.5555555820465088,-0.042131565511226654,0.12723353505134583,0.029152827337384224,-0.11482589691877365,-0.03945356607437134,1.0,-2.7693653106689453
0.06666667014360428,0.13333334028720856,0.9935859441757202,0.0,0.5,0.5555555820465088,-0.0438193753361702,0.1284497082233429,0.03340538591146469,-0.11469748616218567,-0.037326861172914505,1.0,-2.9853499811142683
0.03333333507180214,0.13333334028720856,0.9930725693702698,0.019999999552965164,0.550000011920929,0.5555555820465088,-0.044915925711393356,0.13168510794639587,0.03167616203427315,-0.11417006701231003,-0.040025494992733,1.0,-3.237369656562805
0.0,0.1666666716337204,0.992479145526886,0.0,0.6000000238418579,0.5555555820465088,-0.046466439962387085,0.13339298963546753,0.030319329351186752,-0.1139279454946518,-0.04115116223692894,1.0,-3.3460110425949097
0.06666667014360428,0.20000000298023224,0.9922391176223755,0.0,0.6499999761581421,0.5555555820465088,-0.047957539558410645,0.13215067982673645,0.0334915891289711,-0.11175531893968582,-0.04020155221223831,1.0,-3.7993652503937483
0.06666667014360428,0.23333333432674408,0.9915657043457031,0.019999999552965164,0.699999988079071,0.5555555820465088,-0.048395492136478424,0.13356482982635498,0.032108843326568604,-0.11095709353685379,-0.04327334463596344,1.0,-4.017345694825053
0.06666667014360428,0.23333333432674408,0.9909723401069641,0.019999999552965164,0.75,0.5555555820465088,-0.049250077456235886,0.13592901825904846,0.03247171267867088,-0.11115026473999023,-0.04521065205335617,1.0,-4.299365369603038
0.10000000149011612,0.23333333432674408,0.9902989268302917,0.019999999552965164,0.800000011920929,0.5555555820465088,-0.05014468729496002,0.13724644482135773,0.034607790410518646,-0.11121862381696701,-0.04529288411140442,1.0,-4.517369655892253
0.06666667014360428,0.2666666805744171,0.989705502986908,0.019999999552965164,0.8500000238418579,0.5555555820465088,-0.050510749220848083,0.14013592898845673,0.032990530133247375,-0.11163865029811859,-0.04898509010672569,1.0,-4.829365190118551
0.10000000149011612,0.2666666805744171,0.9890320897102356,0.03999999910593033,0.8999999761581421,0.5555555820465088,-0.05167132243514061,0.1412573605775833,0.03443503379821777,-0.11155922710895538,-0.050307102501392365,1.0,-5.017345635220408
0.06666667014360428,0.30000001192092896,0.9884387254714966,0.019999999552965164,0.949999988079071,0.5555555820465088,-0.05217067524790764,0.1432833969593048,0.0350160226225853,-0.11308687180280685,-0.05264001339673996,1.0,0.0
0.13333334028720856,0.0,0.9996799826622009,0.0,0.0,0.5555555820465088,-0.031025219708681107,0.10576248168945312,0.034366317093372345,-0.12050202488899231,-0.04063674807548523,1.0,-0.22989013604819775
0.13333334028720856,0.06666667014360428,0.999180257320404,0.019999999552965164,0.0,0.5555555820465088,-0.029129136353731155,0.10138404369354248,0.033407632261514664,-0.11910991370677948,-0.042473502457141876,1.0,-0.509913980960846
0.20000000298023224,0.06666667014360428,0.9986804723739624,0.03999999910593033,0.05000000074505806,0.5555555820465088,-0.029788244515657425,0.1013893336057663,0.03779913857579231,-0.11608525365591049,-0.039602700620889664,1.0,-0.7258985955268145
0.20000000298023224,0.06666667014360428,0.9983407258987427,0.05999999865889549,0.10000000149011612,0.5555555820465088,-0.03071209043264389,0.10323522239923477,0.03767397254705429,-0.11574581265449524,-0.03935794532299042,1.0,-1.0399140063673258
0.23333333432674408,0.10000000149011612,0.997840940952301,0.05999999865889549,0.15000000596046448,0.5555555820465088,-0.03128524497151375,0.10210955888032913,0.03987295925617218,-0.11359978467226028,-0.03831414505839348,1.0,-1.2898901496082544
0.30000001192092896,0.10000000149011612,0.9973412156105042,0.05999999865889549,0.20000000298023224,0.5555555820465088,-0.03212636336684227,0.10114521533250809,0.04474590718746185,-0.11164972186088562,-0.03652666509151459,1.0,-1.5059224292635918
0.30000001192092896,0.10000000149011612,0.9970014095306396,0.07999999821186066,0.25,0.5555555820465088,-0.034115321934223175,0.1030733734369278,0.044897936284542084,-0.11157115548849106,-0.036858994513750076,1.0,-1.8818859718739986
